"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15","8.32","8.15","8.69","7.93","40.84M","2.09%"
"Dec 15","8.66","8.38","8.70","7.81","55.73M","4.09%"
"Jan 16","8.66","8.56","8.77","7.66","36.79M","0.00%"
"Feb 16","8.85","8.63","9.06","8.44","28.72M","2.19%"
"Mar 16","9.16","8.77","9.43","8.69","45.92M","3.50%"
"Apr 16","10.72","9.06","10.81","8.80","56.79M","17.03%"
"May 16","11.50","10.64","11.81","10.33","42.13M","7.28%"
"Jun 16","11.99","11.45","12.08","11.20","26.00M","4.26%"
"Jul 16","13.24","11.99","13.29","11.82","38.85M","10.43%"
"Aug 16","12.89","13.28","13.35","12.08","42.87M","-2.64%"
"Sep 16","12.66","13.00","13.46","12.33","30.40M","-1.78%"
"Oct 16","13.28","12.66","13.81","12.48","43.59M","4.90%"
"Nov 16","12.11","13.29","13.30","11.79","39.68M","-8.81%"
"Dec 16","12.61","12.17","12.83","11.62","41.26M","4.13%"
"Jan 17","12.77","12.60","13.35","12.41","32.58M","1.27%"
"Feb 17","13.00","12.79","13.50","12.64","30.47M","1.80%"
"Mar 17","12.66","13.03","13.35","12.08","34.94M","-2.62%"
"Apr 17","12.05","12.57","13.07","11.38","36.63M","-4.82%"
"May 17","12.55","12.09","12.87","11.22","44.31M","4.15%"
"Jun 17","12.70","12.55","12.94","12.20","26.57M","1.20%"
"Jul 17","13.78","12.71","13.82","12.53","19.53M","8.50%"
"Aug 17","13.93","13.79","14.42","13.39","33.04M","1.09%"
"Sep 17","13.45","13.93","14.27","13.21","22.20M","-3.45%"
"Oct 17","13.09","13.45","13.96","12.92","26.12M","-2.68%"
"Nov 17","12.43","13.18","13.18","12.11","31.51M","-5.04%"
"Dec 17","13.65","12.47","13.69","12.18","28.42M","9.81%"
"Jan 18","13.72","13.54","13.77","12.95","27.10M","0.51%"
"Feb 18","13.61","13.76","13.92","13.07","17.80M","-0.80%"
"Mar 18","13.56","13.60","13.95","13.26","22.91M","-0.37%"
"Apr 18","13.98","13.52","14.08","12.99","22.38M","3.10%"
"May 18","13.27","13.92","14.39","12.90","34.94M","-5.08%"
"Jun 18","12.77","13.67","14.82","12.40","38.56M","-3.77%"
"Jul 18","13.51","12.85","13.63","12.63","21.21M","5.79%"
"Aug 18","12.61","13.63","13.78","12.56","28.85M","-6.66%"
"Sep 18","12.87","12.64","12.94","12.11","18.82M","2.06%"
"Oct 18","14.39","12.87","14.58","12.70","45.27M","11.81%"
"Nov 18","15.89","14.40","16.20","14.40","43.31M","10.42%"
"Dec 18","16.90","15.89","16.90","15.89","81.25M","6.36%"
"Jan 19","19.21","16.93","19.35","16.87","36.89M","13.67%"
"Feb 19","18.86","19.18","19.44","18.64","24.92M","-1.82%"
"Mar 19","18.85","19.30","20.08","18.10","37.14M","-0.05%"
"Apr 19","20.52","19.05","20.95","18.71","27.42M","8.86%"
"May 19","22.09","20.58","22.41","19.38","36.38M","7.65%"
"Jun 19","24.18","22.28","24.24","22.01","21.93M","9.46%"
"Jul 19","23.65","24.05","25.98","23.16","46.85M","-2.19%"
"Aug 19","24.80","23.77","25.07","22.95","33.07M","4.86%"
"Sep 19","24.70","24.95","25.80","24.10","12.45M","-0.40%"
"Oct 19","23.57","24.70","24.70","22.80","-","-4.57%"
"Nov 19","22.14","23.69","23.80","21.40","-","-6.07%"
"Dec 19","22.58","22.14","23.09","21.91","-","1.99%"
"Jan 20","22.20","22.60","23.52","21.86","-","-1.68%"
"Feb 20","22.04","22.22","22.93","21.04","-","-0.72%"
"Mar 20","18.75","21.92","23.63","16.98","2.02M","-14.91%"
"Apr 20","19.43","18.51","20.76","17.86","1.98M","3.61%"
"May 20","20.80","18.96","21.16","18.50","2.28M","7.05%"
"Jun 20","20.91","20.85","21.63","19.88","3.68M","0.53%"
"Jul 20","22.54","21.00","22.80","20.72","3.11M","7.80%"
"Aug 20","21.43","22.65","22.74","21.18","1.28M","-4.92%"
"Sep 20","21.79","21.54","22.41","20.74","1.79M","1.68%"
"Oct 20","23.51","21.94","24.17","21.31","3.52M","7.89%"
